Name,ID,Tecs Used by Group,Associated Groups
Dragonfly 2.0,G0074,"['T1087', 'T1098', 'T1071', 'T1560', 'T1547', 'T1110', 'T1059', 'T1136', 'T1005', 'T1074', 'T1189', 'T1114', 'T1133', 'T1083', 'T1187', 'T1562', 'T1070', 'T1105', 'T1036', 'T1112', 'T1135', 'T1003', 'T1069', 'T1566', 'T1012', 'T1021', 'T1018', 'T1053', 'T1113', 'T1505', 'T1016', 'T1033', 'T1221', 'T1204', 'T1078']","IRON LIBERTY, DYMALLOY, Berserk Bear"
DragonOK,G0017,[],
Dust Storm,G0031,"['T1005', 'T1083', 'T1027']",
Elderwood,G0066,"['T1189', 'T1203', 'T1105', 'T1027', 'T1566', 'T1195', 'T1204']","Elderwood Gang, Beijing Group, Sneaky Panda"
Equation,G0020,"['T1480', 'T1564', 'T1120', 'T1542']",
FIN10,G0051,"['T1547', 'T1059', 'T1070', 'T1570', 'T1021', 'T1053', 'T1033', 'T1078']",
FIN4,G0085,"['T1071', 'T1059', 'T1565', 'T1114', 'T1056', 'T1566', 'T1090', 'T1204', 'T1078']",
FIN5,G0053,"['T1119', 'T1110', 'T1059', 'T1074', 'T1133', 'T1070', 'T1090', 'T1018', 'T1078']",
FIN6,G0037,"['T1134', 'T1087', 'T1560', 'T1119', 'T1547', 'T1110', 'T1059', 'T1555', 'T1213', 'T1005', 'T1074', 'T1573', 'T1048', 'T1068', 'T1562', 'T1070', 'T1036', 'T1046', 'T1095', 'T1027', 'T1003', 'T1069', 'T1566', 'T1572', 'T1021', 'T1018', 'T1053', 'T1553', 'T1569', 'T1204', 'T1078', 'T1102', 'T1047']","Magecart Group 6, SKELETON SPIDER, ITG08"
FIN7,G0046,"['T1071', 'T1547', 'T1059', 'T1543', 'T1587', 'T1546', 'T1105', 'T1559', 'T1036', 'T1571', 'T1027', 'T1566', 'T1053', 'T1113', 'T1218', 'T1553', 'T1204', 'T1125', 'T1497', 'T1102']",
FIN8,G0061,"['T1560', 'T1059', 'T1074', 'T1573', 'T1048', 'T1068', 'T1070', 'T1105', 'T1112', 'T1027', 'T1003', 'T1566', 'T1021', 'T1018', 'T1053', 'T1518', 'T1204', 'T1078', 'T1047']",
Frankenstein,G0101,"['T1119', 'T1020', 'T1059', 'T1005', 'T1140', 'T1573', 'T1041', 'T1203', 'T1105', 'T1027', 'T1003', 'T1566', 'T1057', 'T1053', 'T1518', 'T1082', 'T1016', 'T1033', 'T1221', 'T1127', 'T1204', 'T1497', 'T1047']",
Gallmaker,G0084,"['T1560', 'T1059', 'T1559', 'T1027', 'T1566', 'T1204']",
Gamaredon Group,G0047,"['T1071', 'T1119', 'T1020', 'T1547', 'T1059', 'T1005', 'T1039', 'T1025', 'T1140', 'T1041', 'T1083', 'T1562', 'T1070', 'T1105', 'T1559', 'T1534', 'T1112', 'T1106', 'T1027', 'T1137', 'T1120', 'T1566', 'T1053', 'T1113', 'T1218', 'T1082', 'T1033', 'T1080', 'T1221', 'T1204', 'T1102']",
GCMAN,G0036,['T1021'],
GOLD SOUTHFIELD,G0115,"['T1190', 'T1133', 'T1566', 'T1195', 'T1199']",
Gorgon Group,G0078,"['T1547', 'T1059', 'T1140', 'T1564', 'T1562', 'T1105', 'T1112', 'T1106', 'T1566', 'T1055', 'T1204']",
Group5,G0043,"['T1070', 'T1056', 'T1027', 'T1113']",
Honeybee,G0072,"['T1548', 'T1071', 'T1560', 'T1020', 'T1547', 'T1059', 'T1543', 'T1005', 'T1074', 'T1140', 'T1546', 'T1083', 'T1070', 'T1112', 'T1027', 'T1057', 'T1055', 'T1553', 'T1082', 'T1569']",
